condition,strategy,network_topology,user_activity,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
top0_a0_5_combined,combined,0,0.5,cumulative_fake_reposts,10,1548.5,142.2721375080557,1226.6580650695407,1870.3419349304593,3.441845355344767,1.7602920832762885e-06,24189.8,25738.3,6.401458465964993,8.801460416381442e-06
top0_a0_5_combined,combined,0,0.5,target_unique_reposters_p400,10,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
top0_a1_0_credibility,credibility,0,1.0,fake_repost_share_all,10,0.00017149999999999804,0.0003963276212091884,-0.0007250553671331412,0.0010680553671331373,0.13683896597068607,0.675400355540225,0.10287549999999998,0.103047,0.16670635865682118,1.0
top0_a1_0_credibility,credibility,0,1.0,fake_repost_share_final100,10,0.00022999999999999757,0.0002620983699978988,-0.00036290770504848334,0.0008229077050484785,0.277500337695557,0.4030142028708808,0.086946,0.087176,0.2645320083730104,1.0
top0_a1_0_credibility,credibility,0,1.0,target_share_all,10,0.0007039999999999995,0.000273923955384215,8.434096226558169e-05,0.0013236590377344174,0.8127231769984969,0.030185005763313396,0.0118285,0.012532499999999999,5.9517267616350304,0.04248494796878159
top0_a1_0_credibility,credibility,0,1.0,target_share_final100,10,0.0005479999999999997,0.00025937017733133606,-3.873610446632279e-05,0.0011347361044663222,0.6681293029146205,0.06377805290454105,0.007313999999999999,0.007862000000000001,7.492480175006833,0.19133415871362316
top0_a1_0_credibility,credibility,0,1.0,fake_repost_share_decisions,10,0.00017149999999999528,0.0003963276212091879,-0.000725055367133143,0.0010680553671331334,0.136838965970684,0.6754003555402296,0.10287549999999998,0.103047,0.1667063586568185,1.0
top0_a1_0_credibility,credibility,0,1.0,target_share_decisions,10,0.000704,0.0002739239553842149,8.434096226558234e-05,0.0013236590377344176,0.8127231769984976,0.03018500576331329,0.0118285,0.012532500000000002,5.951726761635034,0.04248494796878165
top0_a1_0_credibility,credibility,0,1.0,participation_rate,10,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,
top0_a1_0_credibility,credibility,0,1.0,cumulative_fake_reposts,10,34.3,79.26552424183753,-145.0110734266275,213.6110734266275,0.13683896597068787,0.6754003555402212,20575.1,20609.4,0.16670635865682304,1.0
top0_a1_0_credibility,credibility,0,1.0,target_unique_reposters_p400,10,6.0,1.7638342073763935,2.0099298137949972,9.990070186205003,1.0757057484009542,0.00785239826009304,453.8,459.8,1.3221683561040105,0.04711438956055823
top0_a1_0_combined,combined,0,1.0,fake_repost_share_all,10,0.0070605,0.004004307087374795,-0.0019978719597485107,0.01611887195974851,0.5575811478099321,0.11169298108483403,0.10287549999999998,0.10993599999999999,6.863150118346935,0.11169298108483403
top0_a1_0_combined,combined,0,1.0,fake_repost_share_final100,10,0.0015220000000000003,0.0005988763552594897,0.00016724756331926334,0.0028767524366807374,0.8036694981371963,0.03163667032891113,0.086946,0.08846799999999999,1.750511811929244,0.03163667032891113
top0_a1_0_combined,combined,0,1.0,target_share_all,10,0.006537499999999999,0.0016821436802815363,0.002732226624795388,0.01034277337520461,1.228990748274887,0.0036951160205562594,0.0118285,0.018366,55.26905355708669,0.0036951160205562594
top0_a1_0_combined,combined,0,1.0,target_share_final100,10,0.0027259999999999997,0.0008232728722739636,0.0008636273750480014,0.004588372624951998,1.0470852607846366,0.009066925551691066,0.007313999999999999,0.01004,37.270987147935465,0.009066925551691066
top0_a1_0_combined,combined,0,1.0,fake_repost_share_decisions,10,0.007060500000000002,0.0040043070873747935,-0.0019978719597485055,0.01611887195974851,0.5575811478099323,0.11169298108483391,0.10287549999999998,0.109936,6.863150118346936,0.11169298108483391
top0_a1_0_combined,combined,0,1.0,target_share_decisions,10,0.0065375,0.001682143680281536,0.00273222662479539,0.01034277337520461,1.2289907482748874,0.0036951160205562594,0.0118285,0.018366,55.26905355708669,0.0036951160205562594
top0_a1_0_combined,combined,0,1.0,participation_rate,10,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,
top0_a1_0_combined,combined,0,1.0,cumulative_fake_reposts,10,1412.1,800.8614174749584,-399.57439194970084,3223.7743919497007,0.5575811478099324,0.11169298108483378,20575.1,21987.2,6.863150118346933,0.11169298108483378
top0_a1_0_combined,combined,0,1.0,target_unique_reposters_p400,10,21.1,2.1262904578422748,16.289996810602624,25.91000318939738,3.1380500431377234,3.814653564970247e-06,453.8,474.9,4.649625385632437,2.288792138982148e-05
top1_a0_25_credibility,credibility,1,0.25,fake_repost_share_all,10,0.0001560000000000006,0.00010141170215183938,-7.340920841434099e-05,0.0003854092084143422,0.4864481164586403,0.15836045042153268,0.0764425,0.07659849999999999,0.2040749583019925,0.6334418016861307
top1_a0_25_credibility,credibility,1,0.25,fake_repost_share_final100,10,0.0003080000000000027,0.0001640921150519501,-6.320215342347336e-05,0.0006792021534234788,0.5935577824830373,0.09325246772676403,0.07504999999999999,0.07535800000000001,0.41039307128581315,0.4745312538971118
top1_a0_25_credibility,credibility,1,0.25,target_share_all,10,0.00040100000000000275,0.0001245230902282785,0.0001193091995063354,0.0006826908004936702,1.0183439387850628,0.010484577226737526,0.047174499999999994,0.0475755,0.8500355064706628,0.03145373168021258
top1_a0_25_credibility,credibility,1,0.25,target_share_final100,10,0.0005299999999999992,0.00013978555004005283,0.0002137831167212068,0.0008462168832787916,1.1989845584246805,0.0042726496697073,0.047704,0.048234,1.1110179439879238,0.0213632483485365
