strategy,factor,metric,n,mu,mu_star,sigma
combined,mixed_fake_probability,cumulative_fake_reposts,80,227.74999999999991,387.24999999999983,1811.6200282019063
combined,mixed_fake_probability,fake_repost_share_all,80,0.0011387500000000098,0.001936250000000005,0.009058100141009547
combined,mixed_fake_probability,fake_repost_share_decisions,80,0.0011389302132545668,0.0019365759058156233,0.009059548310244045
combined,mixed_fake_probability,fake_repost_share_final100,80,-0.00018699999999999931,0.0030490000000000005,0.012376591665956446
combined,mixed_fake_probability,participation_rate,80,0.0,0.0,0.0
combined,mixed_fake_probability,target_share_all,80,0.0005509999999999998,0.0011479999999999995,0.003998605959613068
combined,mixed_fake_probability,target_share_decisions,80,0.0005511042288725926,0.0011482020649697278,0.003999280961742331
combined,mixed_fake_probability,target_share_final100,80,-0.0001779999999999997,0.0023999999999999994,0.009210916803143452
combined,mixed_fake_probability,target_unique_reposters_p400,80,1.5000000000000004,18.699999999999996,60.16811889734934
combined,source_attribute_contrast,cumulative_fake_reposts,80,-204.1,583.6,957.6642417883213
combined,source_attribute_contrast,fake_repost_share_all,80,-0.0010205000000000051,0.0029179999999999987,0.0047883212089416035
combined,source_attribute_contrast,fake_repost_share_decisions,80,-0.0010206955739639483,0.002918541888562872,0.004789201045632128
combined,source_attribute_contrast,fake_repost_share_final100,80,-0.000878000000000009,0.0025199999999999975,0.006273896574525921
combined,source_attribute_contrast,participation_rate,80,0.0,0.0,0.0
combined,source_attribute_contrast,target_share_all,80,-0.002052,0.0053595000000000005,0.009735437342675707
combined,source_attribute_contrast,target_share_decisions,80,-0.0020523861231986833,0.005360493632159724,0.009737155147513967
combined,source_attribute_contrast,target_share_final100,80,-0.003704,0.004808,0.012855930966392834
combined,source_attribute_contrast,target_unique_reposters_p400,80,-5.8,57.6,102.20634377992768
combined,target_fake_probability,cumulative_fake_reposts,80,247.95,274.75,503.45700858531205
combined,target_fake_probability,fake_repost_share_all,80,0.0012397499999999956,0.0013737499999999993,0.0025172850429265627
combined,target_fake_probability,fake_repost_share_decisions,80,0.0012399767276625908,0.001373999769212858,0.002517737227680873
combined,target_fake_probability,fake_repost_share_final100,80,0.00041500000000000667,0.001923000000000005,0.007253417527123679
combined,target_fake_probability,participation_rate,80,0.0,0.0,0.0
combined,target_fake_probability,target_share_all,80,0.00012950000000000033,0.0007870000000000002,0.002080438062439152
combined,target_fake_probability,target_share_decisions,80,0.00012951768215458306,0.0007871369043815652,0.002080803531131172
combined,target_fake_probability,target_share_final100,80,-0.0006160000000000004,0.0014300000000000005,0.0045390395459832715
combined,target_fake_probability,target_unique_reposters_p400,80,1.75,14.35,35.832769105556885
combined,target_reach,cumulative_fake_reposts,80,177.05,1198.35,2106.3309746294726
combined,target_reach,fake_repost_share_all,80,0.0008852500000000061,0.005991750000000006,0.010531654873147351
combined,target_reach,fake_repost_share_decisions,80,0.0008853315636164746,0.005992808538835245,0.010533510368542566
combined,target_reach,fake_repost_share_final100,80,-0.0023339999999999967,0.006311999999999991,0.015668741889668835
combined,target_reach,participation_rate,80,0.0,0.0,0.0
combined,target_reach,target_share_all,80,0.00027849999999999923,0.010113500000000003,0.017450291579298373
combined,target_reach,target_share_decisions,80,0.0002784378328812158,0.010115325683918144,0.017453428934082457
combined,target_reach,target_share_final100,80,-0.0042390000000000014,0.007951000000000001,0.020391428305894382
combined,target_reach,target_unique_reposters_p400,80,-12.799999999999994,136.3,253.90072813372444
combined,traditional_fake_probability,cumulative_fake_reposts,80,351.54999999999984,419.3499999999998,1079.6320036434352
combined,traditional_fake_probability,fake_repost_share_all,80,0.001757749999999999,0.002096750000000009,0.005398160018217175
combined,traditional_fake_probability,fake_repost_share_decisions,80,0.0017580619189769193,0.002097128327263903,0.005399125861423527
combined,traditional_fake_probability,fake_repost_share_final100,80,0.0028229999999999896,0.003151000000000001,0.010024805235015775
combined,traditional_fake_probability,participation_rate,80,0.0,0.0,0.0
combined,traditional_fake_probability,target_share_all,80,0.0038262499999999985,0.004087249999999998,0.009970355855538753
combined,traditional_fake_probability,target_share_decisions,80,0.003826942425843873,0.004087995374239357,0.009972191658838878
