condition,strategy,window,window_start,window_end,source,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,during,201,225,UNKNOWN_MEDIA,30,-0.0003093333333333339,0.00014943182302240985,-0.0006149557272566946,-3.710939409973181e-06,-0.3779401224095864,0.0474559993526959
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,during,201,225,FAKE_NEWS_SOURCE,30,0.0005386666666666665,0.00016114228262328336,0.00020909369364460176,0.0008682396396887312,0.6103092652166497,0.002297909926813354
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,during,201,225,MIXED_SOURCE,30,-0.0002826666666666669,0.00010283222954380701,-0.0004929821906962553,-7.235114263707854e-05,-0.5018624682001143,0.010184201463570063
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,226,250,TRADITIONAL_MEDIA,30,0.00040800000000001203,0.00021048733819455302,-2.249494336909884e-05,0.0008384949433691229,0.3538942934033096,0.06236863610468291
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,226,250,UNKNOWN_MEDIA,30,-0.0002080000000000001,0.00011382422423626931,-0.00044079667740077775,2.479667740077753e-05,-0.33363223785179924,0.07795044829031447
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,226,250,FAKE_NEWS_SOURCE,30,-0.00010399999999999975,9.99604519498737e-05,-0.0003084420793688632,0.00010044207936886369,-0.18995227568966294,0.3067455865564303
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,226,250,MIXED_SOURCE,30,-9.599999999999999e-05,4.903107154663763e-05,-0.0001962798009127126,4.279800912712647e-06,-0.35746968783853267,0.059920157033090254
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,251,275,TRADITIONAL_MEDIA,30,0.0002026666666666658,0.00013971311602448748,-8.307873962134157e-05,0.0004884120729546731,0.2648405727067585,0.15762481000053283
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,251,275,UNKNOWN_MEDIA,30,-9.333333333333329e-05,6.19776254275674e-05,-0.00022009181000679165,3.3425143340125074e-05,-0.2749420815503803,0.14290359737845082
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,251,275,FAKE_NEWS_SOURCE,30,-7.733333333333332e-05,4.192750539696176e-05,-0.0001630847101918784,8.418043525211755e-06,-0.336749592840489,0.07535467823046538
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,251,275,MIXED_SOURCE,30,-3.2000000000000026e-05,6.035603180058014e-05,-0.00015544194532005057,9.144194532005053e-05,-0.09679850998199024,0.6000185636001109
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_51_100,276,325,TRADITIONAL_MEDIA,30,5.1999999999992794e-05,6.696439266548469e-05,-8.495756084687024e-05,0.00018895756084685584,0.14177471467332461,0.4437227723535772
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_51_100,276,325,UNKNOWN_MEDIA,30,-2.9333333333333468e-05,3.109841010584164e-05,-9.2936723505e-05,3.427005683833307e-05,-0.17221168004841672,0.35334938797554877
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_51_100,276,325,FAKE_NEWS_SOURCE,30,-1.3333333333333252e-05,1.832863053580401e-05,-5.081959180485823e-05,2.415292513819172e-05,-0.13281529534055495,0.4727771989338138
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,post_51_100,276,325,MIXED_SOURCE,30,-9.33333333333356e-06,1.8162316256490193e-05,-4.647944091089597e-05,2.7812774244228853e-05,-0.09382204947849836,0.6112264092867202
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,during,201,300,TRADITIONAL_MEDIA,30,0.0009966666666666678,0.00027828222395363784,0.0004275156133580764,0.0015658177199752593,0.6538887127979871,0.0012296353563625918
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,during,201,300,UNKNOWN_MEDIA,30,-0.0007253333333333335,0.00013903090976373497,-0.0010096834711548013,-0.0004409831955118657,-0.9525014474651929,1.3874811638586914e-05
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,during,201,300,FAKE_NEWS_SOURCE,30,0.00035266666666666687,0.00010613581987499035,0.00013559454176627933,0.0005697387915670544,0.6066550351584158,0.0024201404145349483
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,during,201,300,MIXED_SOURCE,30,-0.0006239999999999998,0.00011019481181854321,-0.0008493736955405194,-0.0003986263044594801,-1.0338625755691284,4.033035033434281e-06
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_1_25,301,325,TRADITIONAL_MEDIA,30,0.0009600000000000053,0.00037178661535391835,0.000199610993729982,0.0017203890062700287,0.4714296081767402,0.015136617969844045
