condition,policy,strategy,target_reach,wom_receiver_scale,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,target_share_all,30,0.04523950000000001,0.001030502091383044,0.04313188657642367,0.04734711342357635,8.015087935435211,4.458116232791733e-28,0.16403183333333338,0.20927133333333334,27.57970759740741,2.1398957917400315e-26
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,target_share_final100,30,0.031493999999999994,0.001331274093732645,0.02877123876169464,0.03421676123830535,4.319164201991887,1.6558831953447936e-20,0.2021,0.233594,15.583374567046013,6.126767822775736e-19
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,fake_repost_share_decisions,30,0.01924577636196716,0.0006093126468479256,0.017999592075307446,0.020491960648626874,5.766796353607757,5.149753876797593e-24,0.3040049734103568,0.323250749772324,6.330743917136027,2.3688867833268927e-22
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,target_share_decisions,30,0.045247606027267934,0.0010307100343899317,0.04313956731249003,0.04735564474204584,8.01490676890851,4.460997532201301e-28,0.16406115694204595,0.20930876296931392,27.579718972268065,2.1412788154566244e-26
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665,0.0,
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,cumulative_fake_reposts,30,3848.4666666666667,121.83961318469525,3599.2766781953455,4097.656655137988,5.7668491389159815,5.1484244407312915e-24,60790.13333333333,64638.6,6.330742269578836,2.3682752427363943e-22
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,target_unique_reposters_p400,30,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,fake_repost_share_all,30,0.02666466666666667,0.0007773067980132092,0.025074895762338796,0.028254437570994544,6.263009431633812,4.993848008085329e-25,0.3039506666666666,0.33061533333333337,8.772695569017783,2.397047043880958e-23
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,fake_repost_share_final100,30,0.01867266666666667,0.0009673808618123292,0.016694150652856215,0.020651182680477127,3.524100019561288,4.288353489658309e-18,0.3274033333333333,0.346076,5.703261013428902,1.886875535449656e-16
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,target_share_all,30,0.06297466666666666,0.0014585607559944858,0.05999157497365526,0.06595775835967807,7.882803954272944,7.172886113236165e-28,0.16403183333333338,0.2270065,38.39173493762896,3.2995276120886364e-26
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,target_share_final100,30,0.045480666666666676,0.0019927015067538727,0.04140513447713116,0.049556198856202195,4.16700427021247,4.450813412120622e-20,0.2021,0.24758066666666664,22.504040903842988,1.5577846942422175e-18
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,fake_repost_share_decisions,30,0.026669454013020823,0.0007774756477824668,0.025079337772139797,0.02825957025390185,6.262773460468678,4.999180379390595e-25,0.3040049734103568,0.33067442742337766,8.772703194240654,2.3996065821074857e-23
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,target_share_decisions,30,0.06298598362905788,0.0014589089995479811,0.06000217969800819,0.06596978756010759,7.8823385719454295,7.184995256210369e-28,0.16406115694204595,0.22704714057110384,38.39177097313014,3.30509781785677e-26
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665,0.0,
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,cumulative_fake_reposts,30,5332.933333333333,155.4613596026418,5014.9791524677585,5650.887514198908,6.263009431633812,4.993848008085369e-25,60790.13333333333,66123.06666666667,8.77269556901778,2.397047043880977e-23
flag_only_informational_r14_7,flag_only,informational,14.7,0.5,target_unique_reposters_p400,30,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,fake_repost_share_all,30,0.06455649999999999,0.0013683828266771068,0.061757842881094635,0.06735515711890534,8.61334284388965,5.683786039371627e-29,0.3039506666666666,0.36850716666666655,21.23913749161048,3.0692444612606788e-27
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,fake_repost_share_final100,30,0.052546666666666665,0.001875917880057736,0.04870998381216584,0.05638334952116749,5.1141177271136415,1.5065156588959872e-22,0.3274033333333333,0.37994999999999995,16.049520978202217,8.587139255707127e-21
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,target_share_all,30,0.14982883333333333,0.002541089194055493,0.14463172239034794,0.15502594427631872,10.765020497683544,9.428781810005895e-32,0.16403183333333338,0.3138606666666667,91.34131484640682,4.997254359303124e-30
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,target_share_final100,30,0.12538600000000003,0.0041153843300362645,0.11696909397944143,0.13380290602055864,5.562602427684447,1.4222331517300676e-23,0.2021,0.32748600000000005,62.041563582384974,7.395612388996351e-22
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,fake_repost_share_decisions,30,0.06456806143320161,0.0013686627971216316,0.06176883171044419,0.06736729115595903,8.613123168034058,5.687939121587465e-29,0.3040049734103568,0.3685730348435584,21.239146422136102,3.071487125657231e-27
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,target_share_decisions,30,0.14985570995947198,0.002541713170139743,0.1446573228421031,0.15505409707684087,10.764308325585201,9.446744041247193e-32,0.16406115694204595,0.31391686690151793,91.34137095742169,5.0067743418610126e-30
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665,0.0,
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,cumulative_fake_reposts,30,12911.3,273.67656533542123,12351.568576218928,13471.03142378107,8.613342843889656,5.683786039371572e-29,60790.13333333333,73701.43333333333,21.239137491610478,3.069244461260649e-27
flag_only_combined_r14_7,flag_only,combined,14.7,0.5,target_unique_reposters_p400,30,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,fake_repost_share_all,30,0.021828166666666666,0.0008605391748525687,0.020068166438041775,0.023588166895291557,4.631119504956103,2.3985123951984302e-21,0.2954546666666667,0.3172828333333334,7.387991840823858,8.634644622714349e-20
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,fake_repost_share_final100,30,0.013151333333333346,0.0006151719194025824,0.011893165488763515,0.014409501177903178,3.9031267524541065,2.6767221954303123e-19,0.32870199999999994,0.3418533333333333,4.000989751608858,1.2848266538065498e-17
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,target_share_all,30,0.051957666666666666,0.001713106771996578,0.04845396991644099,0.05546136341689234,5.537383217801447,1.616275005368835e-23,0.14203683333333336,0.1939945,36.58041752080739,5.656962518790923e-22
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,target_share_final100,30,0.03105733333333333,0.0012366341911031595,0.02852813242921435,0.03358653423745231,4.5852422554183185,3.1626085805747037e-21,0.20247533333333328,0.23353266666666664,15.338823165290918,1.3599216896471227e-19
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,fake_repost_share_decisions,30,0.021832448921377545,0.0008606686804630892,0.020072183824039195,0.023592714018715894,4.631331053502747,2.39546967154989e-21,0.2955132950200187,0.31734574394139625,7.387975190726552,8.623690817579604e-20
