research_question,condition,strategy,start_period,end_period,target_reach,wom,contacts,memory,memory_half_life,n,fake_repost_share_all_mean,fake_repost_share_all_sd,fake_repost_share_final100_mean,fake_repost_share_final100_sd,target_share_all_mean,target_share_all_sd,target_share_final100_mean,target_share_final100_sd,cumulative_fake_reposts_mean,cumulative_fake_reposts_sd,target_unique_reposters_p400_mean,target_unique_reposters_p400_sd,fake_repost_share_during_mean,fake_repost_share_during_sd,fake_repost_share_post100_mean,fake_repost_share_post100_sd
RQ3,credibility_reach5_0_wom1,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,5.0,1.0,5.0,-1.0,0.33,30,0.09760783333333335,0.01717922806881118,0.091404,0.03744567389957221,0.0008786666666666666,0.0003363519639873698,0.000796,0.0007477303589230362,19521.566666666666,3435.8456137622356,36.46666666666667,13.428567934877092,0.09760783333333335,0.01717922806881118,,
RQ3,credibility_reach1_0_wom0,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,1.0,0.0,5.0,-1.0,0.33,30,0.13587566666666664,0.011979297928116429,0.13246733333333333,0.02327465840089089,0.0015921666666666669,0.0013867362348541526,0.0013453333333333334,0.0011765634743588645,27175.133333333335,2395.859585623287,2.8,1.7300587990805003,0.13587566666666664,0.011979297928116429,,
RQ3,credibility_reach1_0_wom1,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,1.0,1.0,5.0,-1.0,0.33,30,0.09353983333333332,0.010422935955707566,0.09958466666666667,0.03076068771184655,0.000219,0.00024598289820005074,0.00024533333333333335,0.0004564611501641683,18707.966666666667,2084.5871911415134,9.4,10.842445327953246,0.09353983333333332,0.010422935955707566,,
RQ3,credibility_reach0_0_wom0,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,0.0,0.0,5.0,-1.0,0.33,30,0.13412299999999996,0.013509372965872048,0.126268,0.02242719998819168,0.0,0.0,0.0,0.0,26824.6,2701.8745931744093,0.0,0.0,0.13412299999999996,0.013509372965872048,,
RQ3,credibility_reach0_0_wom1,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,0.0,1.0,5.0,-1.0,0.33,30,0.09563683333333334,0.01124137887935441,0.09309266666666668,0.030082766968910078,0.0,0.0,0.0,0.0,19127.366666666665,2248.275775870882,0.0,0.0,0.09563683333333334,0.01124137887935441,,
RQ3,informational_reach14_7_wom0,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,14.7,0.0,5.0,-1.0,0.33,30,0.14993483333333332,0.014716845818086608,0.14733733333333332,0.02841741172583109,0.026494333333333328,0.006212520690777081,0.02375933333333333,0.0069246954038991206,29986.966666666667,2943.369163617322,40.46666666666667,4.775897340008352,0.14993483333333332,0.014716845818086608,,
RQ3,informational_reach14_7_wom1,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,14.7,1.0,5.0,-1.0,0.33,30,0.0983865,0.01452293858302124,0.097478,0.03549271332696818,0.0027218333333333335,0.0009416177232728839,0.002450666666666666,0.0020680007559081746,19677.3,2904.5877166042474,109.43333333333334,29.58527515077604,0.0983865,0.01452293858302124,,
RQ3,informational_reach10_0_wom0,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,10.0,0.0,5.0,-1.0,0.33,30,0.14255099999999998,0.012581930968517976,0.14383666666666667,0.025284399488049236,0.0180905,0.005197623852001658,0.016350666666666666,0.0054773986610392005,28510.2,2516.3861937035954,28.566666666666666,4.804332336069424,0.14255099999999998,0.012581930968517976,,
RQ3,informational_reach10_0_wom1,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,10.0,1.0,5.0,-1.0,0.33,30,0.09910933333333334,0.01789163736138379,0.09865200000000002,0.0348971405211333,0.0020105,0.0009078663409904831,0.0020426666666666666,0.002311815130022792,19821.866666666665,3578.3274722767583,83.66666666666667,26.979345015608963,0.09910933333333334,0.01789163736138379,,
RQ3,informational_reach5_0_wom0,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,5.0,0.0,5.0,-1.0,0.33,30,0.13791583333333332,0.01039851366064279,0.13785066666666665,0.021735889110001894,0.009209166666666666,0.0037732883955632064,0.008137333333333333,0.004080452082233328,27583.166666666668,2079.702732128558,14.266666666666667,3.6287485572789446,0.13791583333333332,0.01039851366064279,,
RQ3,informational_reach5_0_wom1,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,5.0,1.0,5.0,-1.0,0.33,30,0.09764233333333334,0.01719307432405978,0.09147466666666668,0.03751706551767437,0.000985,0.0004328733190493815,0.0008920000000000002,0.0008418632864684432,19528.466666666667,3438.614864811956,42.266666666666666,18.537814723225704,0.09764233333333334,0.01719307432405978,,
RQ3,informational_reach1_0_wom0,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,1.0,0.0,5.0,-1.0,0.33,30,0.13605133333333336,0.011855008030461167,0.13270666666666664,0.023156567152729058,0.0018955000000000003,0.001996201284681862,0.0017033333333333334,0.0018979341461147978,27210.266666666666,2371.0016060922344,2.8,1.7300587990805003,0.13605133333333336,0.011855008030461167,,
RQ3,informational_reach1_0_wom1,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,1.0,1.0,5.0,-1.0,0.33,30,0.09354449999999999,0.01043943785231819,0.09960866666666666,0.030761565218835076,0.0002371666666666667,0.0002659228671332494,0.0003179999999999999,0.0005472779033071552,18708.9,2087.8875704636375,10.133333333333333,12.107943626007463,0.09354449999999999,0.01043943785231819,,
RQ3,informational_reach0_0_wom0,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,0.0,0.0,5.0,-1.0,0.33,30,0.13412299999999996,0.013509372965872048,0.126268,0.02242719998819168,0.0,0.0,0.0,0.0,26824.6,2701.8745931744093,0.0,0.0,0.13412299999999996,0.013509372965872048,,
RQ3,informational_reach0_0_wom1,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,0.0,1.0,5.0,-1.0,0.33,30,0.09563683333333334,0.01124137887935441,0.09309266666666668,0.030082766968910078,0.0,0.0,0.0,0.0,19127.366666666665,2248.275775870882,0.0,0.0,0.09563683333333334,0.01124137887935441,,
