study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,target_share_decisions_final100,total_decisions,target_unique_reposters_p25,target_unique_reposters_p50,target_unique_reposters_p100,target_unique_reposters_p200,target_first_repost_period,selections_traditional_media_all,selections_unknown_media_all,selections_fake_news_source_all,selections_mixed_source_all,target_time_to_25pct_final,target_time_to_50pct_final,target_time_to_75pct_final
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1004,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00578,200000,278,291,406,467,1.0,187125,5152,3333,4390,3,11,88
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1005,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0126,200000,363,390,420,433,1.0,187446,5307,3063,4184,3,9,25
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1006,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00836,200000,369,403,437,455,1.0,186936,3981,2804,6279,7,13,22
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1007,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00634,200000,405,477,491,496,1.0,170786,17211,5189,6814,4,10,17
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1008,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.013,200000,376,421,431,468,1.0,187002,5262,3363,4373,3,8,22
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1009,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01198,200000,290,316,472,483,1.0,152012,36308,5311,6369,3,16,70
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1010,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00434,200000,333,363,467,498,1.0,116243,70705,5833,7219,4,9,62
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1011,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0028,200000,243,262,338,367,1.0,192862,2733,1795,2610,3,10,78
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1012,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.013,200000,240,264,326,401,1.0,187524,3942,2565,5969,9,18,144
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1013,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0074,200000,166,206,282,363,1.0,193347,2868,1672,2113,4,74,128
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1014,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00266,200000,288,321,340,403,1.0,189979,4216,2399,3406,3,12,133
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1015,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.012,200000,170,178,293,460,1.0,187618,5518,3165,3699,11,73,122
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1016,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.009,200000,333,336,355,376,1.0,189663,3679,2505,4153,5,9,59
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1017,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01054,200000,342,361,387,416,1.0,190190,3901,2496,3413,4,8,27
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1018,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00532,200000,317,320,347,433,1.0,190196,4306,2389,3109,4,7,93
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1019,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00304,200000,263,273,314,387,1.0,191380,3953,2004,2663,5,16,132
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1020,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00894,200000,313,320,349,370,1.0,189094,3671,2155,5080,7,11,68
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1021,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01358,200000,324,335,349,399,1.0,187528,6069,2422,3981,6,16,100
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1022,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01284,200000,202,212,277,358,1.0,191912,3382,2210,2496,5,60,171
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1023,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00994,200000,223,266,304,392,1.0,190224,3772,2572,3432,3,38,151
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1024,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00972,200000,161,188,258,347,1.0,192165,3216,1907,2712,5,59,179
