study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,fake_repost_share_all,fake_repost_share_final100,target_share_all,target_share_final100,fake_repost_share_decisions,target_share_decisions,participation_rate,fake_repost_share_decisions_final100,target_share_decisions_final100,total_decisions,cumulative_fake_reposts,target_fake_rate_all,target_unique_reposters_p400,target_unique_reposters_p25,target_unique_reposters_p50,target_unique_reposters_p100,target_unique_reposters_p200,target_first_repost_period,fake_repost_share_during,fake_repost_share_post100,selections_traditional_media_all,selections_unknown_media_all,selections_fake_news_source_all,selections_mixed_source_all,target_time_to_25pct_final,target_time_to_50pct_final,target_time_to_75pct_final
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1022,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.11951,0.12114,0.01053,0.01256,0.11951,0.01053,1.0,0.12114,0.01256,200000,23902,0.675,443,195,204,275,352,1.0,0.11951,,191287,3772,2106,2835,5,60,171
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1023,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.134355,0.1257,0.01217,0.01044,0.134355,0.01217,1.0,0.1257,0.01044,200000,26871,0.6625,460,211,252,278,374,1.0,0.134355,,189631,4189,2434,3746,3,42,152
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1024,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.108735,0.1211,0.00934,0.0091799999999999,0.108735,0.00934,1.0,0.1211,0.00918,200000,21747,0.67,427,156,184,247,337,1.0,0.108735,,191636,3503,1868,2993,6,58,180
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1025,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.116135,0.0975999999999999,0.01185,0.00646,0.116135,0.01185,1.0,0.0976,0.00646,200000,23227,0.6525,452,309,327,364,414,1.0,0.116135,,187054,4350,2370,6226,9,16,83
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1026,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.09511,0.04466,0.012145,0.0024,0.09511,0.012145,1.0,0.04466,0.0024,200000,19022,0.6775,461,375,393,419,444,1.0,0.09511,,189914,4239,2429,3418,3,7,14
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1027,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10497,0.0798,0.012565,0.00722,0.10497,0.012565,1.0,0.0798,0.00722,200000,20994,0.65,457,336,370,386,423,1.0,0.10497,,188945,4822,2513,3720,4,8,37
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1028,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.13126,0.17834,0.0145,0.0211,0.13126,0.0145,1.0,0.17834,0.0211,200000,26252,0.6325,470,283,341,367,393,1.0,0.13126,,187634,5140,2900,4326,4,8,63
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1029,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.100125,0.13238,0.009535,0.01456,0.100125,0.009535,1.0,0.13238,0.01456,200000,20025,0.6725,434,161,189,210,278,1.0,0.100125,,191797,3522,1907,2774,4,135,238
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1030,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.091565,0.0915,0.010055,0.0065,0.091565,0.010055,1.0,0.0915,0.0065,200000,18313,0.68,450,273,286,293,379,1.0,0.091565,,190838,4348,2011,2803,4,16,171
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1001,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1054249999999999,0.12494,0.0118699999999999,0.01234,0.105425,0.01187,1.0,0.12494,0.01234,200000,21085,0.6875,457,260,262,341,399,1.0,0.1054249999999999,,191263,3412,2374,2951,3,11,103
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1002,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.081785,0.04348,0.008745,0.00262,0.081785,0.008745,1.0,0.04348,0.00262,200000,16357,0.6875,430,270,280,314,343,1.0,0.081785,,192935,2866,1749,2450,3,8,152
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1003,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.107935,0.1304199999999999,0.0116,0.01042,0.107935,0.0116,1.0,0.13042,0.01042,200000,21587,0.66,454,203,252,334,386,1.0,0.107935,,190388,4440,2320,2852,7,39,131
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1004,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12182,0.06602,0.016665,0.00578,0.12182,0.016665,1.0,0.06602,0.00578,200000,24364,0.6775,489,278,291,406,467,1.0,0.12182,,187125,5152,3333,4390,3,11,88
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1005,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.130895,0.12098,0.0153149999999999,0.0126,0.130895,0.015315,1.0,0.12098,0.0126,200000,26179,0.65,483,363,390,420,433,1.0,0.130895,,187446,5307,3063,4184,3,9,25
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1006,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.106295,0.07912,0.01402,0.00836,0.106295,0.01402,1.0,0.07912,0.00836,200000,21259,0.6675,478,369,403,437,455,1.0,0.106295,,186936,3981,2804,6279,7,13,22
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1007,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.146555,0.05718,0.025945,0.00634,0.146555,0.025945,1.0,0.05718,0.00634,200000,29311,0.6975,500,405,477,491,496,1.0,0.146555,,170786,17211,5189,6814,4,10,17
