condition,strategy,start_period,end_period,window,window_start,window_end,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_26_50,326,350,false_rate_agent_period,30,-0.00020000000000000042,0.0001105555459288778,-0.00042611147963590474,2.6111479635903932e-05,-0.33028498805932127,0.08082256224623159
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_26_50,326,350,false_share_decisions,30,-0.00020000000000000042,0.0001105555459288778,-0.00042611147963590474,2.6111479635903932e-05,-0.33028498805932127,0.08082256224623159
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_26_50,326,350,target_share_decisions,30,-0.000224,0.00017112581914197368,-0.0005739915978434045,0.00012599159784340447,-0.23898566465369392,0.20081970497661478
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_26_50,326,350,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_51_100,351,400,false_rate_agent_period,30,-2.933333333333364e-05,2.7387946561549242e-05,-8.534797347816058e-05,2.6681306811493306e-05,-0.1955425697624385,0.29298869814811546
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_51_100,351,400,false_share_decisions,30,-2.933333333333364e-05,2.7387946561549242e-05,-8.534797347816058e-05,2.6681306811493306e-05,-0.1955425697624385,0.29298869814811546
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_51_100,351,400,target_share_decisions,30,-1.8666666666666716e-05,1.6799927020458145e-05,-5.3026375394573855e-05,1.5693042061240423e-05,-0.20286108771608838,0.27564601384054654
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_51_100,351,400,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,201,-1,during,201,400,false_rate_agent_period,30,-0.00013533333333333314,9.772555205730074e-05,-0.0003352045291947072,6.453786252804089e-05,-0.2528343164046785,0.17666669360174123
credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,201,-1,during,201,400,false_share_decisions,30,-0.00013533333333333314,9.772555205730074e-05,-0.0003352045291947072,6.453786252804089e-05,-0.2528343164046785,0.17666669360174123
