phase,memory,wom,fake_effect,true_effect,contacts,friends,source_reach,target_reach,cell,timing,scope,fake,fake_se,fake_low,fake_high,n_pairs,target,target_se,target_low,target_high,cumulative,cumulative_se,cumulative_low,cumulative_high
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_credibility_p100,100,credibility,-0.004647727272727286,0.00013974223614205553,-0.00495909237833884,-0.004336362167115732,11,0.001977272727272745,7.571286559448659e-05,0.0018085739498464547,0.0021459715046990356,-739.6363636363636,24.535789342869855,-794.3055091353627,-684.9672181373645
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_credibility_p1,1,credibility,-0.005159090909090921,0.00021604062978756433,-0.005640459429928177,-0.004677722388253666,11,0.01021136363636368,0.0003600088956660403,0.009409213828869502,0.011013513443857858,-1509.1818181818182,46.472243559867046,-1612.728429596527,-1405.6352067671096
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_credibility_p25,25,credibility,-0.005013636363636395,0.0001444174676369772,-0.005335418534183814,-0.004691854193088975,11,0.005063636363636392,0.00012695577416974935,0.004780761270724777,0.005346511456548006,-1170.090909090909,38.74003204237999,-1256.409079611729,-1083.772738570089
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_credibility_p50,50,credibility,-0.004813636363636384,0.0001451239139949797,-0.005136992594760912,-0.004490280132511855,11,0.003377272727272772,0.00014075504776410496,0.003063650936736386,0.003690894517809158,-972.2727272727273,35.5681397037218,-1051.5234812394654,-893.0219733059891
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_non-credibility_p100,100,non-credibility,0.0023249999999999608,0.0001689203685441361,0.001948621963954931,0.0027013780360449907,11,0.0047090909090909735,0.00023306926221992053,0.004189780230734992,0.005228401587446955,199.72727272727272,9.041410699554387,179.5817542708312,219.87279118371424
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_non-credibility_p1,1,non-credibility,0.016029545454545435,0.0007522377086054239,0.01435345539007256,0.01770563551901831,11,0.032281818181818196,0.000961054646239145,0.030140454985650832,0.03442318137798556,2572.2727272727275,59.73944804643379,2439.1649420842527,2705.380512461202
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_non-credibility_p25,25,non-credibility,0.00620681818181816,0.00035456585022920154,0.005416796235334929,0.00699684012830139,11,0.012784090909090972,0.0004616333739027362,0.01175550765332478,0.013812674164857165,813.3636363636364,28.431184136524436,750.0150103810704,876.7122623462024
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_non-credibility_p50,50,non-credibility,0.0038954545454545127,0.00025954107622481684,0.0033171609898316676,0.004473748101077358,11,0.008043181818181882,0.0003267451555788028,0.007315148242338452,0.008771215394025311,449.90909090909093,22.03363319417697,400.8150967387308,499.00308507945107
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_all_p100,100,all,-0.005095454545454572,0.00021926577329542803,-0.00558400913384493,-0.004606899957064215,11,0.007561363636363627,0.0003513992102419755,0.006778397403466189,0.008344329869261065,-764.4545454545455,31.780029073836356,-835.2648629512137,-693.6442279578773
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_all_p1,1,all,-0.010706818181818217,0.0008234288821549534,-0.012541532065995295,-0.008872104297641138,11,0.07479545454545454,0.002165380551747032,0.0699706860087715,0.07962022308213758,-2392.7272727272725,102.4006472732642,-2620.8901333853746,-2164.5644120691704
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_all_p25,25,all,-0.006593181818181849,0.0003449982033729721,-0.00736188571898263,-0.005824477917381068,11,0.022552272727272716,0.0007530200901691461,0.020874439408040634,0.024230106046504798,-1332.909090909091,51.98259403535599,-1448.7335283062976,-1217.0846535118844
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_all_p50,50,all,-0.005647727272727317,0.00025082714406209614,-0.006206604977544832,-0.005088849567909803,11,0.013861363636363639,0.000492885331911212,0.012763146678758117,0.01495958059396916,-1046.1818181818182,46.17059634596622,-1149.0563177196411,-943.3073186439955
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_credibility_p100,100,credibility,-0.004588636363636398,0.0001606578675733757,-0.004946604400253902,-0.004230668327018894,11,0.0021272727272727454,0.00010126778998900652,0.0019016340299434532,0.0023529114246020376,-719.0,26.1669465339212,-777.3035902100773,-660.6964097899227
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_credibility_p1,1,credibility,-0.004950000000000038,0.0003082944283399479,-0.005636922793635174,-0.004263077206364901,11,0.010245454545454554,0.00036039464135952847,0.00944244524299373,0.011048463847915378,-1467.8181818181818,41.782514433632336,-1560.9154255614353,-1374.7209380749282
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_credibility_p25,25,credibility,-0.004822727272727279,0.00019651667016538707,-0.00526059370058575,-0.004384860844868808,11,0.0049113636363636365,0.0002500309898148105,0.004354259873756673,0.0054684673989706,-1125.5454545454545,40.54971441136146,-1215.8958486623567,-1035.1950604285523
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_credibility_p50,50,credibility,-0.004690909090909107,0.00018116644554589875,-0.005094573086906179,-0.004287245094912034,11,0.0034090909090909185,0.00017755513635568055,0.0030134734114071063,0.0038047084067747306,-942.8181818181819,37.529580619660585,-1026.4392984955987,-859.1970651407651
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_non-credibility_p100,100,non-credibility,0.002315909090909073,0.00011373177812455405,0.0020624988973642713,0.0025693192844538745,11,0.004638636363636381,0.00025303529300105406,0.004074838596377002,0.00520243413089576,209.0909090909091,8.028873514843497,191.20146407480271,226.98035410701547
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_non-credibility_p1,1,non-credibility,0.016063636363636363,0.0006876703395288837,0.014531411362773465,0.01759586136449926,11,0.032654545454545464,0.001071271643367964,0.03026760348492612,0.03504148742416481,2601.0,64.41343733329956,2457.4779176876923,2744.5220823123077
strategy,-1,1,1,1,15,0.33,0,default,strategy_m-1_f1_non-credibility_p25,25,non-credibility,0.00591818181818178,0.00022603526748886312,0.005414543856770734,0.006421819779592826,11,0.011977272727272737,0.00047508916083594633,0.010918708109856609,0.013035837344688866,768.4545454545455,19.907679485046437,724.0974713410234,812.8116195680676
